image_name,image_path,label_name,label_num
happy_153.jpg,data/happy/happy_153.jpg,happy,2
focused_416.png,data/focused/focused_416.png,focused,1
happy_75.png,data/happy/happy_75.png,happy,2
focused_57.png,data/focused/focused_57.png,focused,1
focused_441.png,data/focused/focused_441.png,focused,1
focused_351.png,data/focused/focused_351.png,focused,1
happy_81.jpg,data/happy/happy_81.jpg,happy,2
happy_310.jpg,data/happy/happy_310.jpg,happy,2
happy_60.png,data/happy/happy_60.png,happy,2
happy_239.png,data/happy/happy_239.png,happy,2
happy_474.jpg,data/happy/happy_474.jpg,happy,2
angry_370.png,data/angry/angry_370.png,angry,0
neutral_465.png,data/neutral/neutral_465.png,neutral,3
focused_234.jpg,data/focused/focused_234.jpg,focused,1
focused_487.png,data/focused/focused_487.png,focused,1
focused_62.png,data/focused/focused_62.png,focused,1
focused_58.png,data/focused/focused_58.png,focused,1
neutral_26.jpg,data/neutral/neutral_26.jpg,neutral,3
neutral_81.jpg,data/neutral/neutral_81.jpg,neutral,3
happy_140.png,data/happy/happy_140.png,happy,2
happy_469.png,data/happy/happy_469.png,happy,2
neutral_478.png,data/neutral/neutral_478.png,neutral,3
focused_270.png,data/focused/focused_270.png,focused,1
happy_464.jpg,data/happy/happy_464.jpg,happy,2
happy_278.png,data/happy/happy_278.png,happy,2
focused_196.png,data/focused/focused_196.png,focused,1
focused_91.jpg,data/focused/focused_91.jpg,focused,1
happy_237.jpg,data/happy/happy_237.jpg,happy,2
focused_16.png,data/focused/focused_16.png,focused,1
happy_405.png,data/happy/happy_405.png,happy,2
happy_231.png,data/happy/happy_231.png,happy,2
angry_505.png,data/angry/angry_505.png,angry,0
happy_315.jpg,data/happy/happy_315.jpg,happy,2
angry_427.png,data/angry/angry_427.png,angry,0
neutral_142.png,data/neutral/neutral_142.png,neutral,3
angry_4.png,data/angry/angry_4.png,angry,0
neutral_46.png,data/neutral/neutral_46.png,neutral,3
angry_197.png,data/angry/angry_197.png,angry,0
focused_56.jpg,data/focused/focused_56.jpg,focused,1
neutral_66.png,data/neutral/neutral_66.png,neutral,3
focused_106.png,data/focused/focused_106.png,focused,1
angry_394.png,data/angry/angry_394.png,angry,0
happy_105.png,data/happy/happy_105.png,happy,2
neutral_502.png,data/neutral/neutral_502.png,neutral,3
angry_481.jpg,data/angry/angry_481.jpg,angry,0
focused_447.png,data/focused/focused_447.png,focused,1
neutral_95.png,data/neutral/neutral_95.png,neutral,3
neutral_247.png,data/neutral/neutral_247.png,neutral,3
neutral_43.png,data/neutral/neutral_43.png,neutral,3
angry_411.jpg,data/angry/angry_411.jpg,angry,0
angry_101.jpg,data/angry/angry_101.jpg,angry,0
neutral_122.png,data/neutral/neutral_122.png,neutral,3
happy_134.jpg,data/happy/happy_134.jpg,happy,2
neutral_303.png,data/neutral/neutral_303.png,neutral,3
happy_443.jpg,data/happy/happy_443.jpg,happy,2
neutral_100.jpg,data/neutral/neutral_100.jpg,neutral,3
neutral_284.png,data/neutral/neutral_284.png,neutral,3
focused_313.png,data/focused/focused_313.png,focused,1
angry_295.png,data/angry/angry_295.png,angry,0
neutral_420.png,data/neutral/neutral_420.png,neutral,3
focused_2.png,data/focused/focused_2.png,focused,1
focused_318.png,data/focused/focused_318.png,focused,1
focused_287.png,data/focused/focused_287.png,focused,1
angry_35.png,data/angry/angry_35.png,angry,0
neutral_290.png,data/neutral/neutral_290.png,neutral,3
happy_29.png,data/happy/happy_29.png,happy,2
angry_215.png,data/angry/angry_215.png,angry,0
happy_154.jpg,data/happy/happy_154.jpg,happy,2
neutral_405.png,data/neutral/neutral_405.png,neutral,3
angry_255.png,data/angry/angry_255.png,angry,0
neutral_171.jpg,data/neutral/neutral_171.jpg,neutral,3
focused_65.png,data/focused/focused_65.png,focused,1
angry_158.png,data/angry/angry_158.png,angry,0
angry_468.png,data/angry/angry_468.png,angry,0
focused_222.png,data/focused/focused_222.png,focused,1
focused_381.png,data/focused/focused_381.png,focused,1
focused_140.jpeg,data/focused/focused_140.jpeg,focused,1
neutral_484.jpg,data/neutral/neutral_484.jpg,neutral,3
angry_477.png,data/angry/angry_477.png,angry,0
angry_289.png,data/angry/angry_289.png,angry,0
happy_167.png,data/happy/happy_167.png,happy,2
angry_199.png,data/angry/angry_199.png,angry,0
neutral_343.png,data/neutral/neutral_343.png,neutral,3
neutral_74.png,data/neutral/neutral_74.png,neutral,3
happy_47.jpg,data/happy/happy_47.jpg,happy,2
focused_367.png,data/focused/focused_367.png,focused,1
happy_503.jpg,data/happy/happy_503.jpg,happy,2
focused_101.png,data/focused/focused_101.png,focused,1
neutral_174.png,data/neutral/neutral_174.png,neutral,3
focused_207.png,data/focused/focused_207.png,focused,1
happy_26.png,data/happy/happy_26.png,happy,2
focused_448.png,data/focused/focused_448.png,focused,1
happy_144.jpg,data/happy/happy_144.jpg,happy,2
neutral_364.png,data/neutral/neutral_364.png,neutral,3
angry_206.png,data/angry/angry_206.png,angry,0
angry_10.png,data/angry/angry_10.png,angry,0
happy_158.png,data/happy/happy_158.png,happy,2
happy_187.png,data/happy/happy_187.png,happy,2
focused_475.png,data/focused/focused_475.png,focused,1
happy_177.png,data/happy/happy_177.png,happy,2
angry_434.jpg,data/angry/angry_434.jpg,angry,0
happy_40.png,data/happy/happy_40.png,happy,2
happy_258.png,data/happy/happy_258.png,happy,2
angry_34.png,data/angry/angry_34.png,angry,0
happy_215.png,data/happy/happy_215.png,happy,2
neutral_442.png,data/neutral/neutral_442.png,neutral,3
angry_301.jpg,data/angry/angry_301.jpg,angry,0
neutral_237.jpg,data/neutral/neutral_237.jpg,neutral,3
angry_287.png,data/angry/angry_287.png,angry,0
neutral_299.png,data/neutral/neutral_299.png,neutral,3
focused_136.png,data/focused/focused_136.png,focused,1
focused_346.png,data/focused/focused_346.png,focused,1
angry_81.png,data/angry/angry_81.png,angry,0
angry_22.png,data/angry/angry_22.png,angry,0
neutral_89.png,data/neutral/neutral_89.png,neutral,3
happy_455.png,data/happy/happy_455.png,happy,2
neutral_441.png,data/neutral/neutral_441.png,neutral,3
angry_346.jpg,data/angry/angry_346.jpg,angry,0
happy_77.png,data/happy/happy_77.png,happy,2
focused_134.png,data/focused/focused_134.png,focused,1
neutral_338.png,data/neutral/neutral_338.png,neutral,3
angry_253.png,data/angry/angry_253.png,angry,0
angry_306.png,data/angry/angry_306.png,angry,0
happy_265.png,data/happy/happy_265.png,happy,2
angry_416.png,data/angry/angry_416.png,angry,0
neutral_117.png,data/neutral/neutral_117.png,neutral,3
angry_338.png,data/angry/angry_338.png,angry,0
neutral_110.png,data/neutral/neutral_110.png,neutral,3
focused_183.png,data/focused/focused_183.png,focused,1
focused_409.png,data/focused/focused_409.png,focused,1
angry_482.png,data/angry/angry_482.png,angry,0
neutral_355.png,data/neutral/neutral_355.png,neutral,3
focused_225.png,data/focused/focused_225.png,focused,1
neutral_212.png,data/neutral/neutral_212.png,neutral,3
angry_357.jpg,data/angry/angry_357.jpg,angry,0
